City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,kurchatov,51.6601,35.6521,18.23,85,100,4.08,RU,2023-06-22
278,polyarnyy,69.1989,33.4478,14.78,64,9,3.23,RU,2023-06-22
279,remire-montjoly,4.9167,-52.2667,24.02,94,40,0.0,GF,2023-06-22
280,kill devil hills,36.0307,-75.676,24.01,92,0,6.17,US,2023-06-22
281,conceicao da barra,-18.5933,-39.7322,20.37,69,12,1.76,BR,2023-06-22
282,as sulayyil,20.4607,45.5779,28.14,14,0,2.68,SA,2023-06-22
283,tolanaro,-25.0319,46.9987,19.04,88,20,3.09,MG,2023-06-22
284,vorgashor,67.5833,63.95,3.83,65,99,5.71,RU,2023-06-22
285,ancud,-41.8697,-73.8203,10.28,87,84,5.08,CL,2023-06-22
286,kalevala,65.2,31.1667,11.55,87,59,3.36,RU,2023-06-22
287,trincomalee,8.5711,81.2335,29.13,70,100,8.22,LK,2023-06-22
288,vyaz'ma,55.2104,34.2951,15.79,97,95,3.21,RU,2023-06-22
289,baranovichi,53.1327,26.0139,12.57,93,98,2.64,BY,2023-06-22
290,abepura,-2.6333,140.5833,29.45,66,20,2.06,ID,2023-06-22
291,san patricio,28.017,-97.5169,30.3,74,23,6.05,US,2023-06-22
292,kavaratti,10.5669,72.642,29.09,73,97,8.5,IN,2023-06-22
293,port saint john's,-31.6229,29.5448,12.96,74,6,3.08,ZA,2023-06-22
294,funafuti,-8.5243,179.1942,32.0,74,75,3.6,TV,2023-06-22
295,nema,57.5067,50.5011,10.33,77,100,2.14,RU,2023-06-22
296,cidreira,-30.1811,-50.2056,16.42,87,82,1.11,BR,2023-06-22
297,sisimiut,66.9395,-53.6735,1.65,85,91,4.5,GL,2023-06-22
298,ar ruways,24.1103,52.7306,31.33,56,2,4.76,AE,2023-06-22
299,malango,-2.9627,119.9001,26.86,64,70,1.7,ID,2023-06-22
300,labrador city,52.9463,-66.9114,23.95,46,100,3.6,CA,2023-06-22
301,truckee,39.328,-120.1833,15.42,84,100,3.6,US,2023-06-22
302,acajutla,13.5928,-89.8275,26.6,83,100,1.53,SV,2023-06-22
303,phatthalung,7.5,100.0833,31.16,57,94,1.21,TH,2023-06-22
304,tougan,13.0667,-3.0667,27.21,62,100,3.53,BF,2023-06-22
305,utrik,11.2278,169.8474,28.07,75,28,6.26,MH,2023-06-22
306,antofagasta,-23.65,-70.4,16.6,85,5,2.04,CL,2023-06-22
307,jianshui,23.6363,102.8264,21.46,91,100,0.69,CN,2023-06-22
308,fayroz koh,34.5195,65.2509,23.97,24,0,1.73,AF,2023-06-22
309,pangody,65.85,74.4859,1.6,92,100,4.53,RU,2023-06-22
310,pago pago,-14.2781,-170.7025,27.1,73,39,3.48,AS,2023-06-22
311,noosa heads,-26.3833,153.15,24.63,65,17,5.09,AU,2023-06-22
312,boyalik,41.2634,28.6314,21.54,90,5,2.64,TR,2023-06-22
313,piacabucu,-10.4056,-36.4344,23.22,88,66,5.45,BR,2023-06-22
314,tabalah,19.95,42.4,25.58,24,54,2.5,SA,2023-06-22
315,tazovsky,67.4667,78.7,4.96,72,100,2.99,RU,2023-06-22
316,bamboo flat,11.7,92.7167,30.05,74,40,5.14,IN,2023-06-22
317,namtsy,62.7161,129.6658,23.04,45,76,2.66,RU,2023-06-22
318,seward,40.907,-97.0989,26.98,64,68,2.29,US,2023-06-22
319,happy valley-goose bay,53.3168,-60.3315,13.17,94,75,1.03,CA,2023-06-22
320,carutapera,-1.195,-46.02,23.61,94,19,1.71,BR,2023-06-22
321,altamira,-3.2033,-52.2064,22.27,97,85,0.71,BR,2023-06-22
322,bayanhongor,46.7167,100.1167,20.21,31,82,1.94,MN,2023-06-22
323,rossosh',51.1209,38.5116,16.29,89,100,4.9,RU,2023-06-22
324,uturoa,-16.7333,-151.4333,26.44,79,81,8.29,PF,2023-06-22
325,dunedin,-45.8742,170.5036,11.0,91,100,1.09,NZ,2023-06-22
326,kuusamo,65.9667,29.1833,12.02,66,75,4.63,FI,2023-06-22
327,vila franca do campo,37.7167,-25.4333,20.23,94,65,3.86,PT,2023-06-22
328,lashio,22.9333,97.75,21.56,97,100,1.11,MM,2023-06-22
329,manadhoo,5.7667,73.3833,28.19,77,100,6.61,MV,2023-06-22
330,westport,41.1415,-73.3579,20.31,83,20,1.54,US,2023-06-22
331,smithers,54.7804,-127.1743,27.18,26,20,4.63,CA,2023-06-22
332,port augusta,-32.5,137.7667,15.97,56,0,8.14,AU,2023-06-22
333,kenai,60.5544,-151.2583,13.05,93,100,2.57,US,2023-06-22
334,vadso,70.0744,29.7487,14.49,76,0,1.54,NO,2023-06-22
335,dongcun,36.7767,121.1597,30.72,46,0,2.28,CN,2023-06-22
336,ungsang-nodongjagu,42.3578,130.4622,19.99,80,99,3.58,KP,2023-06-22
337,novyy urengoy,66.0833,76.6333,1.67,99,100,1.97,RU,2023-06-22
338,piti village,13.4626,144.6933,32.49,74,20,9.77,GU,2023-06-22
339,jurm,36.8648,70.8342,26.77,32,0,0.46,AF,2023-06-22
340,as samawah,31.332,45.2944,32.25,17,0,3.47,IQ,2023-06-22
341,isangel,-19.55,169.2667,23.44,57,34,4.68,VU,2023-06-22
342,hede,33.7681,120.2517,34.42,32,99,3.19,CN,2023-06-22
343,colonia,50.9333,6.95,17.16,84,75,8.23,DE,2023-06-22
344,vegreville,53.5001,-112.0518,19.03,45,53,1.54,CA,2023-06-22
345,mar del plata,-38.0023,-57.5575,11.16,91,0,9.26,AR,2023-06-22
